Model,Dataset,Language,Strategy,Correct / Total,Accuracy (%)
Deepseek,CommonSenseQA,Chinese,Selfreflection,1528 / 2000,76.40%
GPT4o mini,CommonSenseQA,Chinese,Selfreflection,1411 / 2000,70.55%
Gemini,CommonSenseQA,Chinese,Selfreflection,1431 / 2000,71.55%
QWEN,CommonSenseQA,Chinese,Selfreflection,1340 / 2000,67.00%
Deepseek,CommonSenseQA,English,Selfreflection,1683 / 2000,84.15%
GPT4o mini,CommonSenseQA,English,Selfreflection,1612 / 2000,80.60%
Gemini,CommonSenseQA,English,Selfreflection,1579 / 2000,78.95%
QWEN,CommonSenseQA,English,Selfreflection,1542 / 2000,77.10%
Deepseek,MMLU,Chinese,Selfreflection,1792 / 2000,89.60%
GPT4o mini,MMLU,Chinese,Selfreflection,1560 / 2000,78.00%
Gemini,MMLU,Chinese,Selfreflection,1668 / 2000,83.40%
QWEN,MMLU,Chinese,Selfreflection,1493 / 2000,74.65%
Deepseek,MMLU,English,Selfreflection,1824 / 2000,91.20%
GPT4o mini,MMLU,English,Selfreflection,1647 / 2000,82.35%
Gemini,MMLU,English,Selfreflection,1723 / 2000,86.15%
QWEN,MMLU,English,Selfreflection,1566 / 2000,78.30%
Deepseek,MathQA,Chinese,Selfreflection,1824 / 2000,91.20%
GPT4o mini,MathQA,Chinese,Selfreflection,1624 / 2000,81.20%
Gemini,MathQA,Chinese,Selfreflection,1730 / 1991,86.89%
QWEN,MathQA,Chinese,Selfreflection,1569 / 2000,78.45%
Deepseek,MathQA,English,Selfreflection,1820 / 2000,91.00%
GPT4o mini,MathQA,English,Selfreflection,1680 / 2000,84.00%
Gemini,MathQA,English,Selfreflection,1766 / 2000,88.30%
QWEN,MathQA,English,Selfreflection,1648 / 2000,82.40%
Deepseek,TruthfulQA,Chinese,Selfreflection,734 / 817,89.84%
GPT4o mini,TruthfulQA,Chinese,Selfreflection,594 / 817,72.71%
Gemini,TruthfulQA,Chinese,Selfreflection,646 / 817,79.07%
QWEN,TruthfulQA,Chinese,Selfreflection,630 / 817,77.11%
Deepseek,TruthfulQA,English,Selfreflection,727 / 817,88.98%
GPT4o mini,TruthfulQA,English,Selfreflection,608 / 817,74.42%
Gemini,TruthfulQA,English,Selfreflection,660 / 817,80.78%
QWEN,TruthfulQA,English,Selfreflection,617 / 817,75.52%
