condition,model,dataset,strategy,n,correct,accuracy,empty_myanswer,n_debate,n_no_debate,debate_rate,n_disagree,c_recoverable,acc_debate,recovery,acc_no_debate,file
challenge_CN,Deepseek,CommenseQA,Challenge,6000,4408,0.7346666666666667,1,850,5150,0.14166666666666666,850,0.7729411764705882,0.4541176470588235,0.17503805175038045,0.7809708737864077,Deepseek_CommenseQA_Challenge.json
challenge_CN,GPT 4.1 mini,CommenseQA,Challenge,6000,4268,0.7113333333333334,0,1092,4908,0.182,1092,0.7683150183150184,0.4716117216117216,0.22765196662693676,0.7646699266503667,GPT 4.1 mini_CommenseQA_Challenge.json
challenge_CN,QWEN 3-8b,CommenseQA,Challenge,6000,3821,0.6368333333333334,1,1427,4573,0.23783333333333334,1427,0.7168885774351786,0.4505956552207428,0.2570869990224829,0.6949486114148261,QWEN 3-8b_CommenseQA_Challenge.json
challenge_CN,Deepseek,MMLU,Challenge,5938,5213,0.8779050185247558,1,469,5469,0.07898282249915796,469,0.837953091684435,0.5415778251599147,0.2926208651399491,0.9067471201316512,Deepseek_MMLU_Challenge.json
challenge_CN,GPT 4.1 mini,MMLU,Challenge,5938,5045,0.8496126641966992,0,653,5285,0.10996968676321994,653,0.8085758039816233,0.5405819295558959,0.33712121212121215,0.8877956480605487,GPT 4.1 mini_MMLU_Challenge.json
challenge_CN,QWEN 3-8b,MMLU,Challenge,5938,4403,0.7414954530144829,6,1058,4880,0.17817446951835636,1058,0.7665406427221172,0.5,0.30456226880394577,0.7938524590163935,QWEN 3-8b_MMLU_Challenge.json
challenge_CN,Deepseek,MathQA,Challenge,2985,2710,0.9078726968174204,7,163,2822,0.05460636515912898,163,0.6687116564417178,0.4723926380368098,0.4128440366972477,0.9330262225372077,Deepseek_MathQA_Challenge.json
challenge_CN,GPT 4.1 mini,MathQA,Challenge,2985,2663,0.8921273031825796,0,225,2760,0.07537688442211055,225,0.6888888888888889,0.52,0.5096774193548388,0.922463768115942,GPT 4.1 mini_MathQA_Challenge.json
challenge_CN,QWEN 3-8b,MathQA,Challenge,2985,2442,0.8180904522613065,3,530,2455,0.17755443886097153,530,0.7245283018867924,0.569811320754717,0.5729166666666667,0.8716904276985743,QWEN 3-8b_MathQA_Challenge.json
challenge_CN,Deepseek,TruthfulQA,Challenge,817,713,0.8727050183598531,0,67,750,0.08200734394124846,67,0.8208955223880597,0.6417910447761194,0.5636363636363635,0.8933333333333333,Deepseek_TruthfulQA_Challenge.json
challenge_CN,GPT 4.1 mini,TruthfulQA,Challenge,817,680,0.8323133414932681,0,71,746,0.08690330477356181,71,0.7183098591549296,0.4647887323943662,0.2941176470588234,0.8672922252010724,GPT 4.1 mini_TruthfulQA_Challenge.json
challenge_CN,QWEN 3-8b,TruthfulQA,Challenge,817,611,0.7478580171358629,1,151,666,0.18482252141982863,151,0.6821192052980133,0.4304635761589404,0.26213592233009697,0.8198198198198198,QWEN 3-8b_TruthfulQA_Challenge.json
