model,dataset,cell,l1,l2,pair,pair_acc,mono_l1,mono_l2,max_mono,min_mono,gap,mean_mono,excess
deepseek,commonsenseqa,deepseek|commonsenseqa,chinese,japanese,chinese_vs_japanese,0.7625,0.7465,0.7335,0.7465,0.7335,0.013000000000000012,0.74,0.015999999999999903
deepseek,commonsenseqa,deepseek|commonsenseqa,chinese,russian,chinese_vs_russian,0.771,0.7465,0.745,0.7465,0.745,0.0015000000000000568,0.74575,0.024499999999999966
deepseek,commonsenseqa,deepseek|commonsenseqa,chinese,spanish,chinese_vs_spanish,0.775,0.7465,0.757,0.757,0.7465,0.010499999999999954,0.75175,0.018000000000000016
deepseek,commonsenseqa,deepseek|commonsenseqa,english,chinese,english_vs_chinese,0.803,0.8225,0.7465,0.8225,0.7465,0.07599999999999996,0.7845,-0.019499999999999962
deepseek,commonsenseqa,deepseek|commonsenseqa,english,japanese,english_vs_japanese,0.808,0.8225,0.7335,0.8225,0.7335,0.08899999999999997,0.778,-0.014499999999999957
deepseek,commonsenseqa,deepseek|commonsenseqa,english,russian,english_vs_russian,0.8055,0.8225,0.745,0.8225,0.745,0.07750000000000001,0.78375,-0.017000000000000015
deepseek,commonsenseqa,deepseek|commonsenseqa,english,spanish,english_vs_spanish,0.8015,0.8225,0.757,0.8225,0.757,0.0655,0.78975,-0.02100000000000002
deepseek,commonsenseqa,deepseek|commonsenseqa,japanese,russian,japanese_vs_russian,0.7655,0.7335,0.745,0.745,0.7335,0.011499999999999955,0.73925,0.020499999999999963
deepseek,commonsenseqa,deepseek|commonsenseqa,japanese,spanish,japanese_vs_spanish,0.777,0.7335,0.757,0.757,0.7335,0.023499999999999965,0.74525,0.020000000000000018
deepseek,commonsenseqa,deepseek|commonsenseqa,russian,spanish,russian_vs_spanish,0.7675,0.745,0.757,0.757,0.745,0.01200000000000001,0.751,0.010499999999999954
deepseek,mathqa,deepseek|mathqa,chinese,japanese,chinese_vs_japanese,0.91,0.91,0.908,0.91,0.908,0.0020000000000000018,0.909,0.0
deepseek,mathqa,deepseek|mathqa,chinese,russian,chinese_vs_russian,0.912,0.91,0.9045,0.91,0.9045,0.00550000000000006,0.90725,0.0020000000000000018
deepseek,mathqa,deepseek|mathqa,chinese,spanish,chinese_vs_spanish,0.9135,0.91,0.909,0.91,0.909,0.0010000000000000009,0.9095,0.0034999999999999476
deepseek,mathqa,deepseek|mathqa,english,chinese,english_vs_chinese,0.9155,0.907,0.91,0.91,0.907,0.0030000000000000027,0.9085000000000001,0.005499999999999949
deepseek,mathqa,deepseek|mathqa,english,japanese,english_vs_japanese,0.915,0.907,0.908,0.908,0.907,0.0010000000000000009,0.9075,0.007000000000000006
deepseek,mathqa,deepseek|mathqa,english,russian,english_vs_russian,0.913,0.907,0.9045,0.907,0.9045,0.0025000000000000577,0.90575,0.006000000000000005
deepseek,mathqa,deepseek|mathqa,english,spanish,english_vs_spanish,0.911,0.907,0.909,0.909,0.907,0.0020000000000000018,0.908,0.0020000000000000018
deepseek,mathqa,deepseek|mathqa,japanese,russian,japanese_vs_russian,0.9115,0.908,0.9045,0.908,0.9045,0.0035000000000000586,0.90625,0.0034999999999999476
deepseek,mathqa,deepseek|mathqa,japanese,spanish,japanese_vs_spanish,0.9125,0.908,0.909,0.909,0.908,0.0010000000000000009,0.9085000000000001,0.0034999999999999476
deepseek,mathqa,deepseek|mathqa,russian,spanish,russian_vs_spanish,0.9095,0.9045,0.909,0.909,0.9045,0.0045000000000000595,0.90675,0.0004999999999999449
deepseek,mmlu,deepseek|mmlu,chinese,japanese,chinese_vs_japanese,0.8945,0.888,0.882,0.888,0.882,0.006000000000000005,0.885,0.00649999999999995
deepseek,mmlu,deepseek|mmlu,chinese,russian,chinese_vs_russian,0.896,0.888,0.8825,0.888,0.8825,0.00550000000000006,0.88525,0.008000000000000007
deepseek,mmlu,deepseek|mmlu,chinese,spanish,chinese_vs_spanish,0.9015,0.888,0.893,0.893,0.888,0.0050000000000000044,0.8905000000000001,0.008499999999999952
deepseek,mmlu,deepseek|mmlu,english,chinese,english_vs_chinese,0.9065,0.907,0.888,0.907,0.888,0.019000000000000017,0.8975,-0.000500000000000056
deepseek,mmlu,deepseek|mmlu,english,japanese,english_vs_japanese,0.9145,0.907,0.882,0.907,0.882,0.025000000000000022,0.8945000000000001,0.007499999999999951
deepseek,mmlu,deepseek|mmlu,english,russian,english_vs_russian,0.908,0.907,0.8825,0.907,0.8825,0.024500000000000077,0.8947499999999999,0.0010000000000000009
deepseek,mmlu,deepseek|mmlu,english,spanish,english_vs_spanish,0.91,0.907,0.893,0.907,0.893,0.014000000000000012,0.9,0.0030000000000000027
deepseek,mmlu,deepseek|mmlu,japanese,russian,japanese_vs_russian,0.8975,0.882,0.8825,0.8825,0.882,0.0004999999999999449,0.88225,0.015000000000000013
deepseek,mmlu,deepseek|mmlu,japanese,spanish,japanese_vs_spanish,0.901,0.882,0.893,0.893,0.882,0.01100000000000001,0.8875,0.008000000000000007
deepseek,mmlu,deepseek|mmlu,russian,spanish,russian_vs_spanish,0.8985,0.8825,0.893,0.893,0.8825,0.010500000000000065,0.88775,0.005499999999999949
deepseek,truthfulqa,deepseek|truthfulqa,chinese,japanese,chinese_vs_japanese,0.8996,0.8788,0.8727,0.8788,0.8727,0.006099999999999994,0.87575,0.02079999999999993
deepseek,truthfulqa,deepseek|truthfulqa,chinese,russian,chinese_vs_russian,0.8862,0.8788,0.8556,0.8788,0.8556,0.0232,0.8672,0.007399999999999962
deepseek,truthfulqa,deepseek|truthfulqa,chinese,spanish,chinese_vs_spanish,0.8849,0.8788,0.8519,0.8788,0.8519,0.026900000000000035,0.8653500000000001,0.006099999999999994
deepseek,truthfulqa,deepseek|truthfulqa,english,chinese,english_vs_chinese,0.8862,0.8458,0.8788,0.8788,0.8458,0.03300000000000003,0.8623000000000001,0.007399999999999962
deepseek,truthfulqa,deepseek|truthfulqa,english,japanese,english_vs_japanese,0.8898,0.8458,0.8727,0.8727,0.8458,0.026900000000000035,0.8592500000000001,0.017100000000000004
deepseek,truthfulqa,deepseek|truthfulqa,english,russian,english_vs_russian,0.8874,0.8458,0.8556,0.8556,0.8458,0.009800000000000031,0.8507,0.03179999999999994
deepseek,truthfulqa,deepseek|truthfulqa,english,spanish,english_vs_spanish,0.8764,0.8458,0.8519,0.8519,0.8458,0.006099999999999994,0.84885,0.024499999999999966
