cell,n_train,a,g,gap_star,max_gap,pred_has_loss,true_has_loss,n_pred_loss,n_true_loss,cell_correct,rmse
deepseek|commonsenseqa,150,0.024054548999625388,-0.34724256222699185,0.06927304315851976,0.0889999999999999,True,True,3,4,True,0.010841352365153312
deepseek|mathqa,150,0.025573968302307806,-0.37342994641276284,0.06848397818111825,0.0055,False,False,0,0,True,0.021351566112198597
deepseek|mmlu,150,0.025147735098362045,-0.37357373976559693,0.06731665644951723,0.025,False,True,0,1,False,0.01468368121955098
deepseek|truthfulqa,150,0.024195630131013036,-0.3687296483099558,0.06561888972560753,0.033,False,False,0,0,True,0.00628000488314322
gemini|commonsenseqa,150,0.02383340040656923,-0.3777518043193511,0.06309275067398616,0.0285,False,False,0,0,True,0.014944622935729193
gemini|mathqa,150,0.02402201326681054,-0.3820079745441997,0.06288353874149584,0.0504999999999999,False,False,0,0,True,0.008640122225473284
gemini|mmlu,150,0.023668902371663768,-0.37321624849481033,0.06341873502860873,0.0124999999999999,False,False,0,0,True,0.011140207101398913
gemini|truthfulqa,150,0.023170826359140584,-0.3711715026416296,0.06242619973309827,0.0183999999999999,False,False,0,0,True,0.016828959040292354
gpt4omini|commonsenseqa,150,0.02560948982903468,-0.39888807116867375,0.06420219525242572,0.1129999999999999,True,True,4,6,True,0.01390688800760326
gpt4omini|mathqa,150,0.02422814485989028,-0.3739856962782788,0.06478361365420343,0.0574999999999999,False,False,0,0,True,0.0036111666745800987
gpt4omini|mmlu,150,0.02491919698153446,-0.38088296460672816,0.06542481364915913,0.0625,False,True,0,2,False,0.010101633919002503
gpt4omini|truthfulqa,150,0.024873469192050527,-0.3738662051886901,0.06653040271317621,0.038,False,True,0,1,False,0.010587575093509887
qwen|commonsenseqa,150,0.023785301526868922,-0.36171520821891584,0.06575698501588487,0.119,True,True,4,4,True,0.00593342978003211
qwen|mathqa,150,0.02328585357056809,-0.37351870109930874,0.06234186802972684,0.0414999999999999,False,False,0,0,True,0.01714873270958161
qwen|mmlu,150,0.023719188932682853,-0.37226566279008594,0.06371575813603224,0.0645,True,False,1,0,False,0.008756713261863914
qwen|truthfulqa,150,0.023788011152957513,-0.3705417486535032,0.06419792436182917,0.0721999999999999,True,True,1,2,True,0.010911911941336266
