cell,model,dataset,n,B_max,B_max_se,B_gap,B_gap_se,r2,resid_sd,p_joint_zero,p_joint_pure_max,p_Bmax_eq1,p_Bgap_eq0,b_max,b_min,b_sum,a_excess,a_excess_se,g_excess,mean_pair_acc,mean_excess
deepseek|commonsenseqa,deepseek,commonsenseqa,10,0.3750181495947036,0.16513787736939167,0.12785584524493343,0.17722327161871154,0.9655270681662302,0.003894639023641652,7.606305634126732e-06,6.034471530200916e-06,0.0068509496668374865,0.4940249990134421,0.5028739948396446,-0.1278558452449472,0.37501814959469737,0.0237950133633422,0.0030850777647795464,-0.5275003516669006,0.7836500000000001,0.003749999999999987
deepseek|mathqa,deepseek,mathqa,10,-0.05666666666658404,0.6633509381317184,-0.4666666666666561,0.4534573659854141,0.13699738282181417,0.0020780027040634796,0.5970935704903138,0.1978017325183672,0.1552056056385203,0.33765976538504694,-0.5233333333332322,0.46666666666664547,-0.05666666666658671,0.004820093457943879,0.0014632019838823227,-0.5654205607476501,0.91235,0.0033499999999999754
deepseek|mmlu,deepseek,mmlu,10,0.5717544577271134,0.26328742267317023,0.07926091568767646,0.29748930001762597,0.8370887340300519,0.003036190104407088,0.0017451345429053179,0.03129701786317552,0.14786259967756185,0.7975835490275296,0.6510153734148081,-0.07926091568765514,0.5717544577271529,0.010648970198158827,0.0019106435943204128,-0.3635512560461855,0.9028,0.006249999999999978
deepseek|truthfulqa,deepseek,truthfulqa,10,0.5495857558901776,0.19812082819800192,-0.3946662308511737,0.20834552632696843,0.5238591032432329,0.0046114059277307376,0.07448592226321087,0.0031381651727649903,0.05718735956441212,0.10004287517182318,0.15491952503901274,0.39466623085116126,0.549585755890174,0.029406258170406263,0.0036447696779879583,-0.7278950558989798,0.8864099999999999,0.016769999999999962
gemini|commonsenseqa,gemini,commonsenseqa,10,1.6662575337531642,0.6054084551941155,-0.6681714938822356,0.600088433274108,0.6031180921279213,0.013407640556782827,0.03938352239862993,0.5354449680438921,0.30750913949437053,0.30228063724011206,0.9980860398709339,0.6681714938822427,1.6662575337531766,0.02831128875968993,0.007415588106141567,-0.1448643410852723,0.7556999999999999,0.025949999999999994
gemini|mathqa,gemini,mathqa,10,0.41559577094710676,0.12335965340015972,-0.19414415182990385,0.04025756297692287,0.8536095890770494,0.0021254911539833475,0.0012003121564263383,0.0013313202630039177,0.0021142561167515925,0.0019158214602509492,0.22145161911720734,0.19414415182989675,0.4155957709471041,0.026085705045278143,0.002127852177293338,-0.16377049753505124,0.8651500000000001,0.022450000000000015
gemini|mmlu,gemini,mmlu,10,0.3846674853800067,0.859348700752202,-0.26842505832896535,0.8571333098514368,0.029234036860048662,0.007303194892096661,0.9013654197267068,0.5952860907063924,0.49714901925363675,0.7632791778306445,0.11624242705106269,0.2684250583289298,0.3846674853799925,0.0340756951596293,0.004983736247358483,-0.5767250257466585,0.8533000000000002,0.030500000000000037
gemini|truthfulqa,gemini,truthfulqa,10,0.7393654580769535,0.24289166078049962,-0.5401371367923176,0.23892396822384732,0.5699960548977244,0.003653264237611943,0.052137900656251165,0.008847369704720914,0.3188421360983628,0.05827057377973147,0.19922832128463597,0.5401371367923176,0.7393654580769535,0.04329330831197362,0.002155858786671952,-0.7238690456376289,0.8249600000000001,0.03549
gpt4omini|commonsenseqa,gpt4omini,commonsenseqa,10,0.9231776790358346,0.11331062527108177,-0.16411188550958578,0.12842668857142894,0.979007604026218,0.005449808867099892,1.3403463441515735e-06,0.005068832889534108,0.5195586251459383,0.24203946374566493,0.7590657935262461,0.16411188550958578,0.9231776790358319,0.005608208583455763,0.0030058226474095756,-0.2444101261198429,0.7374499999999999,-0.007150000000000034
gpt4omini|mathqa,gpt4omini,mathqa,10,1.1526011745628573,0.15174424828682634,-0.36149275643098666,0.07377367656980115,0.921065455865207,0.0039891710926783395,0.00013817671642065509,0.004885877131358563,0.34807500491288745,0.0017530779156353041,0.7911084181318788,0.3614927564309818,1.1526011745628606,0.024403613324669105,0.002272770153433606,-0.36146927049488753,0.8294499999999999,0.015149999999999997
